MO_Name;Weekday;Hour;Provider;Number
Ясенево;пн;2.0;1;0.09005767749630003
Дорогомилово;пн;2.0;1;0.3084834374949179
Коньково;пн;2.0;1;0.5030289520239465
Хорошёвский;пн;2.0;1;0.37394498291365746
Беговой;пн;2.0;1;0.41857677297029144
Коптево;пн;2.0;1;0.5734060170306674
Аэропорт;пн;2.0;1;0.4005895981507683
Пресненский;пн;2.0;1;0.33676060240011335
Бескудниковский;пн;2.0;1;0.4337650722404075
Гагаринский;пн;2.0;1;0.2900324098698044
Тимирязевский;пн;2.0;1;0.2708715739681432
Лианозово;пн;2.0;1;0.471888857814697
Хамовники;пн;2.0;1;0.33645766398350807
Восточное Дегунино;пн;2.0;1;0.34227034051459854
Савёловский;пн;2.0;1;0.3032578507627746
Академический;пн;2.0;1;0.2190333829281087
Зюзино;пн;2.0;1;0.4967988979538948
Алтуфьевский;пн;2.0;1;0.37760260409639723
Марфино;пн;2.0;1;0.803858018870219
Чертаново Центральное;пн;2.0;1;0.23444672005007108
Отрадное;пн;2.0;1;0.4954319350468377
Арбат;пн;2.0;1;0.5991684664637922
Чертаново Южное;пн;2.0;1;0.2838307516912551
Бутырский;пн;2.0;1;0.49546926747041226
Тверской;пн;2.0;1;0.42689975308362427
Чертаново Северное;пн;2.0;1;0.489804483484118
Якиманка;пн;2.0;1;0.26003424235445416
Котловка;пн;2.0;1;0.2684669938922705
Останкинский;пн;2.0;1;0.12807738141406727
Донской;пн;2.0;1;0.3608350924268894
Бибирево;пн;2.0;1;0.49861862711162386
Бирюлёво Западное;пн;2.0;1;0.23246625296664128
Марьина Роща;пн;2.0;1;0.49465383864959345
Нагорный;пн;2.0;1;0.3883121873803536
Свиблово;пн;2.0;1;0.7816911633794951
Даниловский;пн;2.0;1;0.3144161593046755
Мещанский;пн;2.0;1;0.4933674487408847
Южное Медведково;пн;2.0;1;0.45771310671702753
Замоскворечье;пн;2.0;1;0.5421635708685985
Северное Медведково;пн;2.0;1;0.6401377367232179
Нагатино-Садовники;пн;2.0;1;0.39248422373294933
Москворечье-Сабурово;пн;2.0;1;0.2848340695639734
Царицыно;пн;2.0;1;0.4214407244230105
Басманный;пн;2.0;1;0.7965266823173307
Красносельский;пн;2.0;1;0.37485867771214093
Ростокино;пн;2.0;1;0.3563187861155607
Таганский;пн;2.0;1;0.5519326752439582
Алексеевский;пн;2.0;1;0.5103816136827446
Сокольники;пн;2.0;1;0.3713413294376434
Бирюлёво Восточное;пн;2.0;1;0.21765373269599123
Бабушкинский;пн;2.0;1;0.432748030857875
Южнопортовый;пн;2.0;1;0.5264797754992582
Ярославский;пн;2.0;1;0.24515444177329537
Печатники;пн;2.0;1;0.1987692636944711
Богородское;пн;2.0;1;0.607180122170394
Метрогородок;пн;2.0;1;0.06491017435645562
Лефортово;пн;2.0;1;0.43687057972735804
Орехово-Борисово Северное;пн;2.0;1;0.32392761712151896
Лосиноостровский;пн;2.0;1;0.4144058609834319
Нижегородский;пн;2.0;1;0.4269114108974017
Перово;пн;2.0;1;0.33239579859636226
Орехово-Борисово Южное;пн;2.0;1;0.2898998337603335
Марьино;пн;2.0;1;0.38850290205999516
Вешняки;пн;2.0;1;0.3827249233598059
Преображенское;пн;2.0;1;0.5749630358050397
Соколиная Гора;пн;2.0;1;0.3387883275327267
Люблино;пн;2.0;1;0.17087268766308095
Текстильщики;пн;2.0;1;0.27961268575702614
Братеево;пн;2.0;1;0.37904851974229914
Зябликово;пн;2.0;1;0.3702756605683134
Рязанский;пн;2.0;1;0.3232623197979716
Измайлово;пн;2.0;1;0.17206521910604447
Новогиреево;пн;2.0;1;0.2847647027336149
Кузьминки;пн;2.0;1;0.2353130554949874
Гольяново;пн;2.0;1;0.19246806295206043
Северное Измайлово;пн;2.0;1;0.4717088031703288
Капотня;пн;2.0;1;0.06641216902174299
Выхино-Жулебино;пн;2.0;1;0.30943382809752934
Восточное Измайлово;пн;2.0;1;0.5379955525164205
Ивановское;пн;2.0;1;0.3177149148406569
Кунцево;пн;2.0;1;0.19222540503868527
Саларьево-Румянцево;пн;2.0;1;0.11898445597242034
Южное Бутово;пн;2.0;1;0.3426133615134178
Выхино;пн;2.0;1;0.25813450391185316
Мякинино-Волоколамская-Митино-Пятницкое шоссе;пн;2.0;1;0.4089044522613536
Бульвар Дмитрия Донского;пн;2.0;1;0.3144620882683625
Новокосино;пн;2.0;1;0.5431617888277047
Аэропорт Шереметьево;пн;2.0;1;0.1429373128495869
Аэропорт Домодедово;пн;2.0;1;0.0
Аэропорт Внуково;пн;2.0;1;0.028587462569863994
Филёвский Парк;пн;3.0;1;0.21262294120187808
Щукино;пн;3.0;1;0.1674353258810104
Нагатинский Затон;пн;3.0;1;0.21442748681445548
Дмитровский;пн;3.0;1;0.1505892966589079
Тёплый Стан;пн;3.0;1;0.21281695156126829
Ховрино;пн;3.0;1;0.5222224925171378
Ломоносовский;пн;3.0;1;0.3482050686081255
Можайский;пн;3.0;1;0.2459961179058097
Строгино;пн;3.0;1;0.13765759909570444
